연번,시설구분,시설명,상세주소,위도,경도, 수용가능면적 , 수용가능인원 
1,학교운동장,한국애니메이션고 운동장,경기도 하남시 검단산로 223  (창우동),127.2276,37.5349,667,808
2,학교운동장,신장초등학교 운동장,경기도 하남시 신평로 100  (신장동),127.208,37.5422,4846,5874
3,학교운동장,하남천현초등학교 운동장,경기도 하남시 천현로 45  (신장동),127.2164,37.538,3380,3380
4,학교운동장,동부중학교 운동장,경기도 하남시 신평로 15  (덕풍동),127.2028,37.5356,3600,4364
5,학교운동장,동부초등학교 운동장,경기도 하남시 역말로 55  (덕풍동),127.2021,37.5372,3368,4082
6,학교운동장,서부초등학교 운동장,경기도 하남시 서하남로 161  (감일동),127.162,37.5153,4130,5006
7,학교운동장,위례초등학교 운동장,경기도 하남시 위례순환로 333  (학암동),127.1495,37.4771,2190,2655
8,학교운동장,청아초등학교 운동장,경기도 하남시 미사강변중앙로 132번길 45 (춘궁동),127.194,37.5586,2360,2861
9,학교운동장,한홀초등학교 운동장,경기도 하남시 미사강변서로 68 (풍산동),127.1851,37.5563,3082,3733
10,학교운동장,윤슬초등학교 운동장,경기도 하남시 미사강변서로 151 (미사1동),127.1826,37.5637,2660,3224
11,학교운동장,미사초등학교 운동장,경기도 하남시 미사강변한강로 200 (미사2동),127.1934,37.5714,2510,3042
12,학교운동장,미사강변중학교 운동장,경기도 하남시 미사강변한강로 89 (미사2동),127.1855,37.5778,2300,2788
13,학교운동장,위례고등학교 운동장,경기도 하남시 위례순환로 323 (위례동),127.1509,37.4768,3500,4242
14,학교운동장,산곡초등학교 운동장,경기도 하남시 하남대로302번길 45(하산곡동),127.2346,37.5039,15762,19105
15,학교운동장,창우초등학교 운동장,경기도 하남시 대청로 99(창우동),127.2235,37.5403,4030,4884
16,학교운동장,하남경영고등학교 운동장,경기도 하남시 대청로116번길 11(창우동),127.2257,37.5385,4457,5402
17,학교운동장,하남중학교 운동장,경기도 하남시 천현로 113(창우동),127.2228,37.5361,3017,3656
18,학교운동장,하남초등학교 운동장,경기도 하남시 천현로 109(창우동),127.2224,37.5372,3484,1454
19,공원,미사경정공원,경기도 하남시 미사대로 505(신장동),127.2123,37.5522,129674,157181
20,학교운동장,남한중학교 운동장,경기도 하남시 하남대로802번길 21(신장동),127.2096,37.5423,2787,3378
21,학교운동장,신장고등학교 운동장,경기도 하남시 신장동로 19(신장동),127.2099,37.5437,3212,3893
22,학교운동장,신장중학교 운동장,경기도 하남시 대청로59번길 37(신장동),127.2187722,37.54280791,5918,7173
23,학교운동장,신평중학교 운동장,경기도 하남시 신장동로 57(신장동),127.2140533,37.54412525,3825,4636
24,학교운동장,신평초등학교 운동장,경기도 하남시 신장동로 67(신장동),127.2153137,37.54384008,3750,4545
25,학교운동장,나룰초등학교 운동장,경기도 하남시 덕풍북로 260(덕풍동),127.2092614,37.54846922,2925,3545
26,학교운동장,남한고등학교 운동장,경기도 하남시 신평로 25(덕풍동),127.2032583,37.53638069,3085,3739
27,학교운동장,덕풍중학교 운동장,경기도 하남시 덕풍북로71번길 10(덕풍동),127.1992322,37.55388991,3150,3818
28,학교운동장,덕풍초등학교 운동장,경기도 하남시 덕풍공원로 20(덕풍동),127.1977383,37.54103846,2078,2518
29,학교운동장,하남풍산초등학교 운동장,경기도 하남시 덕풍북로 100(덕풍동),127.2012127,37.55407677,2500,3030
30,공설(종합)운동장,하남종합운동장,경기도 하남시 아리수로 600(망월동),127.1937955,37.56702256,2534,3071
31,공원,미사호수공원,경기도 하남시 망월동 813-0,127.1892464,37.56383394,47750,57879
32,학교운동장,망월초등학교 운동장,경기도 하남시 미사강변북로24번길 10(망월동),127.1805007,37.57096245,2258,2736
33,학교운동장,미사고등학교 운동장,경기도 하남시 망월동 241-4,127.193892,37.57038423,2758,3343
34,학교운동장,미사중앙초등학교 운동장,경기도 하남시 미사강변한강로334번길 46(망월동),127.1988697,37.55944587,2734,3314
35,학교운동장,미사중학교 운동장,경기도 하남시 미사강변한강로334번길 70(망월동),127.1995993,37.55830479,3267,3960
36,학교운동장,윤슬중학교 운동장,경기도 하남시 풍산로 168(망월동),127.1816611,37.56322162,2488,3015
37,학교운동장,미사강변고등학교 운동장,경기도 하남시 미사강변한강로 75(선동),127.1838444,37.57758866,3040,3684
38,학교운동장,미사강변초등학교 운동장,경기도 하남시 미사강변북로55번길 70(선동),127.1859205,37.57571375,1860,2255
39,학교운동장,은가람중학교 운동장,경기도 하남시 미사강변한강로 9(선동),127.1772948,37.57599622,2982,3614
40,학교운동장,신우초등학교 운동장,경기도 하남시 감일동 78-4,127.1612126,37.51105767,1300,1575
41,학교운동장,감일고등학교 운동장,경기도 하남시 감이동 99-1,127.1602142,37.50941733,3036,3680
42,학교운동장,감일중학교 운동장,경기도 하남시 감이동 288-9,127.1622821,37.50112812,3104,3762
43,학교운동장,감일초등학교 운동장,경기도 하남시 감이동 291-9,127.1621883,37.49988688,2538,3076
44,학교운동장,단샘초등학교 운동장,경기도 하남시 감이로103번길 26(감이동),127.1586304,37.5070004,2400,2909
45,학교운동장,위례숲초등학교 운동장,경기도 하남시 학암동 57-0,127.1581972,37.48486635,2421,2935
