연번,구분,주소,경도,위도,시설명,면적,수용인원,데이터기준일자
1,기타,경상북도 영양군 입암면 방전2길 25,36.55559115,129.0862543,천문사,110,30,2023-05-26
2,경로당,경상북도 영양군 입암면 흥구1길 25,36.54827289,129.0705002,흥구리 노인사랑방,55,30,2023-05-26
3,마을회관,경상북도 영양군 석보면 원리3길 11,36.56330887,129.1186685,원리1리 마을회관,130,30,2023-05-26
4,마을회관,경상북도 영양군 수비면 괘벽길 6-1,36.787309,129.22197,수하1리 마을회관,120,50,2023-05-26
5,관공서,경상북도 영양군 영양읍 지평길 51,36.65259028,129.1535565,영양군 농업기술센터,750,100,2023-05-26
6,마을회관,경상북도 영양군 영양읍?감천2길 24,36.61853878,129.0931805,감천1리 새마을회관,100,20,2023-05-26
7,마을회관,경상북도 영양군 영양읍 낙원로 53,36.63746043,129.1260341,현 3리 마을회관,100,20,2023-05-26
8,학교,경상북도 영양군 영양읍 영양창수로 141,36.66102077,129.1393787,영양여자고등학교,100,20,2023-05-26
9,마을회관,경상북도 영양군 입암면 후평길 2,36.59404033,129.0105723,산해 2리 마을회관,100,20,2023-05-26
10,마을회관,경상북도 영양군 일월면 섬촌1길 27-8,36.72635342,129.1299987,섬촌리 마을회관,100,20,2023-05-26
11,경로당,경상북도 영양군 일월면 구도실길 33-3,36.75387922,129.0833069,구도실경로당,100,20,2023-05-26
12,학교,경상북도 영양군 청기면 재일로 1383-23,36.76940742,129.0532074,일월초등학교청북분교장,700,150,2023-05-26
13,마을회관,경상북도 영양군 청기면 창마을길 6,36.71658053,129.0267975,사리마을회관,100,20,2023-05-26
14,경로당,경상북도 영양군 청기면 청기로 581 ,36.67035193,129.0426739,상청 1리 경로당,100,20,2023-05-26
15,마을회관,경상북도 영양군 청기면 청기로 1608,36.69587453,129.037216,토구리 마을회관,100,20,2023-05-26
16,경로당,경상북도 영양군 석보면 원요로 457,36.56646762,129.171743,요원1리 경로회관,100,20,2023-05-26
17,마을회관,경상북도 영양군 청기면 여미1길 13,36.65646798,129.0249867,구매1리 마을회관,120,30,2023-05-26
18,마을회관,경상북도 영양군 입암면 약수탕길 28-3,36.61191984,129.124563,양항리 약수마을회관,120,30,2023-05-26
19,경로당,경상북도 영양군 입암면 대천길 251,36.61338494,129.0129554,대천리 산박골 경로당,120,30,2023-05-26
20,마을회관,경상북도 영양군 입암면 노달1길 2,36.57986461,129.1011365,노달리 마을회관,120,30,2023-05-26
21,마을회관,경상북도 영양군 청기면 맹촌길 6,36.75693536,129.0300747,무진리 마을회관,120,30,2023-05-26
22,마을회관,경상북도 영양군 수비면 금촌길 14,36.77552973,129.1984406,발리1리 마을회관,120,30,2023-05-26
