연번,장소명,구분,관리번호,행정동,법정동,도로명주소,지번,규모(제곱미터),데이터 기준 일자
1,청운초등학교 운동장,학교운동장 ,1,청운효자동,청운동,자하문로 105,청운동 123,1993,2024-08-19
2,서울농학교 운동장,학교운동장 ,2,청운효자동,신교동,필운대로 103,신교동 1-1,4144,2024-08-19
3,청운중학교 운동장,학교운동장 ,4,청운효자동,청운동,창의문로 51,청운동 89-143,4133,2024-08-19
4,경복고등학교 운동장,학교운동장 ,5,청운효자동,청운동,자하문로28가길 9,청운동 89-9 ,11577,2024-08-19
5,경기상업고등학교 운동장,학교운동장 ,6,청운효자동,청운동,자하문로 136,청운동 89-3,10629,2024-08-19
6,매동초등학교 운동장,학교운동장 ,7,사직동,필운동,사직로9길 19,필운동 32,2593,2024-08-19
7,배화여자고등학교 운동장,학교운동장 ,8,사직동,필운동,필운대로1길 34,필운동 12,2432,2024-08-19
8,사직공원,공원 ,9,사직동,사직동,사직로 89,사직동 1-28,26523,2024-08-19
9,내수1근린공원,공원 ,10,사직동,내수동,,내수동 71-2 ,2703,2024-08-19
10,내수2근린공원,공원 ,11,사직동,내수동,,내수동 73-3 ,2310,2024-08-19
11,낙산어린이공원,공원 ,12,창신2동,창신동,,창신동 611-48,1641,2024-08-19
12,덕성여자중학교 운동장,학교운동장 ,13,삼청동,송현동,율곡로3길 49,송현동 34,2560,2024-08-19
13,덕성여자고등학교 운동장,학교운동장 ,14,삼청동,안국동,율곡로3길 50,안국동 34,3560,2024-08-19
14,삼청공원,공원 ,15,삼청동,삼청동,북촌로 134-1,삼청동 산2-1,378440,2024-08-19
15,서울예술고등학교 운동장,학교운동장 ,16,평창동,평창동,평창문화로 70,평창동 217-0,4725,2024-08-19
16,후창공원,공원 ,17,평창동,평창동,,평창동 568-2 ,1651,2024-08-19
17,감나무골공원,공원 ,18,평창동,평창동,,평창동 495-4 ,2507,2024-08-19
18,참샘골공원,공원 ,19,평창동,평창동,,평창동 470 ,2585,2024-08-19
19,평창공원,공원 ,20,평창동,평창동,,평창동 108-3 ,913,2024-08-19
20,무악어린이공원,공원 ,22,무악동,무악동,,무악동 산2-83 ,4953,2024-08-19
21,대신고등학교 운동장,학교운동장 ,24,교남동,행촌동,사직로 9,행촌동 171-1 ,4424,2024-08-19
22,월암근린공원,공원 ,25,교남동,송월동,,송월동 1-2,12000,2024-08-19
23,세검정초등학교 운동장,학교운동장 ,26,부암동,신영동,세검정로9길 1,신영동 219-4,1735,2024-08-19
24,상명대부속여중고 운동장,학교운동장 ,27,부암동,홍지동,홍지문2길 20,홍지동 7-1,5053,2024-08-19
25,상명대부속초등학교 운동장,학교운동장 ,28,부암동,홍지동,홍지문2길 1,홍지동 56,1340,2024-08-19
26,재동초등학교 운동장,학교운동장 ,29,가회동,가회동,북촌로4길 7,가회동 210,3357,2024-08-19
27,중앙고등학교 운동장,학교운동장 ,30,가회동,계동,창덕궁길 164,계동 1,10218,2024-08-19
28,대동세무고등학교 운동장,학교운동장 ,31,가회동,계동,계동길 84-10 ,계동 35,4257,2024-08-19
29,원서공원,공원 ,32,가회동,원서동,창덕궁길 19,원서동 181,767,2024-08-19
30,교동초등학교 운동장,학교운동장 ,33,종로14가동,경운동,삼일대로 446,경운동 2,2600,2024-08-19
31,운현초등학교 운동장,학교운동장 ,34,종로14가동,운니동,삼일대로 460,운니동 114-7,2300,2024-08-19
32,탑골공원,공원 ,35,종로14가동,종로2가,종로 99,종로2가 38-1,9300,2024-08-19
33,올림픽기념국민생활관,기타 ,39,혜화동,혜화동,성균관로 91,혜화동 1-21,1402,2024-08-19
34,와룡공원,공원 ,40,혜화동,명륜3가,와룡공원길 192,명륜3가 53-52,1200,2024-08-19
35,명륜공원,공원 ,41,혜화동,명륜1가,혜화로9길 24-9,명륜1가 23-9,1025,2024-08-19
36,서울사대부여자중 운동장,학교운동장 ,43,이화동,동숭동,대학로 64,동숭동 199-51,4476,2024-08-19
37,효제초등학교 운동장,학교운동장 ,44,종로56가동,효제동,대학로 12,효제동 255-4,5794,2024-08-19
38,동대문성곽공원,공원 ,46,종로56가동,종로6가,,종로6가 70 ,9400,2024-08-19
39,창신초등학교 운동장,학교운동장 ,49,창신1동,창신동,지봉로 73,창신동 128-32,2123,2024-08-19
40,낙산공원,공원,50,이화동,동숭동,낙산1길 28-18,동숭동 산2-10,577,2024-08-19
41,명신초등학교 운동장,학교운동장 ,51,창신3동,창신동,낙산길 250,창신동 7-40,2857,2024-08-19
42,창신어린이공원,공원 ,52,창신3동,창신동,,창신동 23-362 ,691,2024-08-19
43,지봉골공원,공원 ,53,창신3동,창신동,지봉로 97-4,창신동 산6-25,1312,2024-08-19
44,숭인(근린)공원,공원 ,54,숭인1동,숭인동,동망산길 150,숭인동 58 ,34047,2024-08-19
45,종로산업정보학교 운동장,학교운동장 ,55,숭인2동,숭인동,종로58길 30,숭인동 242-36,1910,2024-08-19
