기준시설,최근접 민방위 대피소,주소,수용인원(명),위도,경도,기준일자
종합운동장,남외푸르지오1차 지하주차장 1층 대피소,울산 중구 남외3길 33,33694,35.56494461,129.3490643,2024-06-19
문수축구경기장,옥현3단지 301동_302동 지하주차장 1_2층 대피소,울산 남구 옥현로 34,27669,35.53936084,129.2587066,2024-06-19
울산대공원 정문,한라한솔아파트 전체동 지하주차장 1_2층 대피소,울산 남구 대공원입구로9번길 15,3860,35.53301837,129.2917371,2024-06-19
울산대공원 동문,대공원월드메르디앙 103동 앞 지하주차장 1층 대피소,울산 남구 대공원로 207,16961,35.53158835,129.3044059,2024-06-19
문화공원,달동 문화공원 지하주차장 1_2층 대피소,울산 남구 번영로 200,18375,35.54288781,129.3270938,2024-06-19
노동복지관,평창3차현대아파트 603동 앞 지하주차장 1층 대피소,울산 남구 삼산중로128번길 21,3448,35.54504549,129.3375891,2024-06-19
농수산물도매시장,울산산업공구월드 지하주차장 1층 대피소,울산 남구 갈밭로 24,1600,35.53578533,129.3426384,2024-06-19
삼산공영주차장,롯데시네마 지하주차장 1층 대피소,울산 남구 삼산로 288,2887,35.53862265,129.3388668,2024-06-19
어린이테마파크,대왕암엘크루아파트 201동_208동 지하주차장 대피소,울산 동구 등대4길 26,21299,35.48875647,129.432028,2024-06-19
하늘공원,수산로얄 팰리스 아파트 1동 지하주차장 1층 대피소,울산 울주군 삼남읍 작괘들길 17,4248,35.54190285,129.1069696,2024-06-19
