구분,대피소 명칭,대피소 주소,지정일,X좌표,Y좌표,수용능력(명)
기타,고창실내체육관,전라북도 고창군 고창읍 중앙로 292,2020-07-31,126.707233,35.4354067,300 
기타,고창군립체육관,전라북도 고창군 고창읍 운동장길 36,2020-12-09,126.7242037,35.4325748,400 
기타,고창청소년수련관,전라북도 고창군 고창읍 운동장길 36,2020-12-09,126.7242037,35.4325748,350 
마을회관,신기마을회관,전라북도 고창군 대산면 신기2길 3,2020-12-09,126.5570632,35.3347147,30 
마을회관,위성마을회관,전라북도 고창군 고수면 인성석우길 27,2020-12-09,126.6335235,35.4084243,30 
마을회관,봉산마을회관,전라북도 고창군 고수면 봉산1길 15,2020-12-09,126.677438,35.4218463,30 
마을회관,오산마을회관,전라북도 고창군 고수면 오산길 25,2020-12-09,126.6444362,35.3973544,30 
학교,대아초등학교,전라북도 고창군 아산면 녹두로 776,2020-12-09,126.6336053,35.4396714,200 
학교,아산초등학교,전라북도 고창군 아산면 녹두로 776,2020-12-09,126.6336053,35.4396714,200 
학교,대아초등학교,전라북도 고창군 아산면 녹두로 776,2020-12-10,126.6336053,35.4396714,200 
학교,대아초등학교,전라북도 고창군 아산면 녹두로 776,2020-12-11,126.6336053,35.4396714,200 
학교,대아초등학교,전라북도 고창군 아산면 녹두로 776,2020-12-12,126.6336053,35.4396714,200 
마을회관,복흥마을회관,전라북도 고창군 무장면 박매길 25,2020-12-09,126.5407549,35.4143387,50 
마을회관,석동마을회관,전라북도 고창군 무장면 석동길 109,2020-12-09,126.5483395,35.3999089,100 
마을회관,신촌마을회관,전라북도 고창군 무장면 신촌길 47,2020-12-09,126.5438141,35.3959092,50 
마을회관,강남마을회관,전라북도 고창군 무장면 원강남길 17,2020-12-09,126.5915525,35.4240441,70 
마을회관,나분계마을회관,전라북도 고창군 무장면 학천로 517-5,2020-12-09,126.6118686,35.4022083,70 
마을회관,강남마을회관,전라북도 고창군무장면 원강남길 17,2020-12-09,126.5915525,35.4240441,70 
기타,공음실내체육관,전라북도 고창군 공음면 왕제산로 73,2022-01-01,126.5143825,35.3778947,1400 
기타,상하실내체육관,전라북도 고창군 상하면 선운대로 810,2020-12-09,126.4917325,35.4454764,1000 
학교,동호초등학교,전라북도 고창군 해리면 신동호길 18,2020-12-09,126.4942022,35.5074746,300 
학교,해리초등학교,전라북도 고창군 해리면 해리중앙로 152,2020-12-09,126.5358419,35.4654435,300 
마을회관,삼태마을회관,전라북도 고창군 성송면 삼태길 12,2020-12-09,126.6214925,35.3506859,25 
학교,성송초등학교,전라북도 고창군 성송면 백토1길 10,2020-12-09,126.6441232,35.3558488,200 
마을회관,산수마을회관,전라북도 고창군 성송면 산수길 52-10,2020-12-09,126.6189314,35.3405342,25 
마을회관,양사마을회관,전라북도 고창군 성송면 양사1길 26-1,2020-12-09,126.6082126,35.3639687,50 
마을회관,월계마을회관,전라북도 고창군 성송면 월계길 28,2020-12-09,126.6458768,35.3693563,25 
마을회관,남창마을회관,전라북도 고창군 성송면 남창1길 85,2020-12-09,126.6190496,35.3539994,40 
기타,대산농어민문화체육센터,전라북도 고창군 대산면 사거1길 49-10,2023-02-13,126.5931961,35.3395068,400 
학교,매산초등학교,전라북도 고창군 대산면 매산초등길 22,2023-02-13,126.5949581,35.3401809,400 
마을회관,신흥마을회관,전라북도 고창군 대산면 신흥길 28,2023-02-13,126.560169,35.3408245,30 
학교,대산초등학교,전라북도 고창군 대산면 장자산로 669,2023-02-13,126.5637333,35.3289086,400 
학교,심원초등학교,전라북도 고창군 심원면 심원로 229,2020-12-09,126.5522793,35.5251396,800 
마을회관,난호마을회관,전라북도 고창군 심원면 만돌1길 42,2020-07-31,126.5187814,35.5300909,30 
마을회관,사등마을회관,전라북도 고창군 심원면 사등길 28,2020-07-31,126.5560215,35.5341087,30 
마을회관,상전마을회관,전라북도 고창군 심원면 상전2길 21,2020-07-31,126.5683257,35.5407542,30 
마을회관,사포마을회관,전라북도 고창군 흥덕면 김소희길 18,2022-03-17,126.6779851,35.5467532,20 
마을회관,주항마을회관,전라북도 고창군 흥덕면 주항길 97,2022-03-17,126.6869324,35.5357655,20 
마을회관,제하마을회관,전라북도 고창군 흥덕면 제하길 83,2022-03-17,126.7180314,35.518113,20 
마을회관,여곡마을회관,전라북도 고창군 흥덕면 속동길 54,2022-03-17,126.7245115,35.5108819,25 
마을회관,만각마을회관,전라북도 고창군 성내면 만각동길 16,2022-02-17,126.7331732,35.5516794,20 
마을회관,칠성마을회관,전라북도 고창군 성내면 신성칠성길 53,2022-02-17,126.7399218,35.5514649,15 
마을회관,엄동마을회관,전라북도 고창군 성내면 엄동1길 1,2022-02-17,126.75492,35.5641595,15 
마을회관,동촌마을회관,전라북도 고창군 성내면 성내동촌길 21,2022-02-17,126.74635,35.5613521,15 
기타,신림다목적체육관,전라북도 고창군 신림면 신림로 192,2020-12-09,126.718689,35.4880918,1000 
기타,부안건강증진센터,전라북도 고창군 부안면 중흥서당촌길 34-66,2020-12-09,126.6697336,35.5145729,250 
